"yearend","entityid","entityname","bundleguid","filename","lastmodified","cwguid","Entity","Parent Name","Type","Consolidation File Name","Contribution to Parent Entity - Current Year (%)","Contribution to Parent Entity - Prior Year 1 (%)","Contribution to Parent Entity - Prior Year 2 (%)","Contribution to Parent Entity - Prior Year 3 (%)","Contribution to Parent Entity - Prior Year 4 (%)","Contribution to Parent Entity - Budget (%)","Contribution to Parent Entity - Forecast Balance (%)","Consolidation File Location","Extended Description","Type of Consolidation","Consolidation Abbreviated File Name","Include Prior Year Balances","Include Budget Balances","Exclude Zero Balance Accounts","Apply Foreign Exchange","Include Forecast Balance","Enable Account Synchronization","Include Custom Balances","Unmap new external accounts"
"2017","7","ForwardSlash","b52c1fb9-c147-4779-8e41-d721bb00816d","Accounts_balancesWithDecmials.ac","2020-09-11","Aazx16ro0V5EzBGIuNZpmL","Parent","PARENT","M","CHILD1","100","100","100","100","100","100","100","","","External","CHILD1","Yes","Yes","Yes","No","Yes","Yes","Yes","No"
"2017","7","ForwardSlash","b52c1fb9-c147-4779-8e41-d721bb00816d","Accounts_balancesWithDecmials.ac","2020-09-11","Ab-eSXzfk3iM7TK0XTsGSF","Child","CHILD1","C","CHILDCHILD1","100","100","100","100","100","100","100","","","External","CHLDCHLD1","Yes","Yes","Yes","No","Yes","Yes","Yes","No"
"2017","7","ForwardSlash","b52c1fb9-c147-4779-8e41-d721bb00816d","Accounts_balancesWithDecmials.ac","2020-09-11","H7zVvvlAEAhOW4NYh9DuqM","Child","PARENT","C","CHILD2","100","100","100","100","100","100","100","","","External","CLD2","Yes","Yes","Yes","No","Yes","Yes","Yes","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","JXBGRj-8kN6BF0vC95-uau","Parent","","M","Everette Wild","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","","","","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","CK9P6xD+0iTAvCb6N2oDqE","Child","Everette Wild","C","description 1","100","100","100","100","100","100","100","","","External","D000001","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","CI72c0Cfk7KBxvdZUk71OT","Child","Everette Wild","C","description 95","100","100","100","100","100","100","100","","","External","D000095","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","CQZnrN4fU5tAyXRlhDG66h","Child","Everette Wild","C","description 189","100","100","100","100","100","100","100","","","External","D000189","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","NAXRvF0W0z4LqbfgM5PBeo","Child","Everette Wild","C","description 283","100","100","100","100","100","100","100","","","External","D000283","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","Km22PfsTUUwCiwipXmQ3G1","Child","Everette Wild","C","description 377","100","100","100","100","100","100","100","","","External","D000377","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","BcZrxgSH0JjG6p5PBeRfaL","Child","Everette Wild","C","description 471","100","100","100","100","100","100","100","","","External","D000471","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","AYbkEyzyEurAb83zuy86iF","Child","Everette Wild","C","description 565","100","100","100","100","100","100","100","","","External","D000565","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","Kvd7bjUwUMsLh-FU+5lXOr","Child","Everette Wild","C","description 659","100","100","100","100","100","100","100","","","External","D000659","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","I1-lBgG7UwBGAXk4ghM8a3","Child","Everette Wild","C","description 753","100","100","100","100","100","100","100","","","External","D000753","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","GXw1Qky4UlpBdOjEhPgY6s","Child","Everette Wild","C","description 847","100","100","100","100","100","100","100","","","External","D000847","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","LTNsbi3Tk3qOGaqXC-2iea","Child","Everette Wild","C","description 941","100","100","100","100","100","100","100","","","External","D000941","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","HHGsrCi2E0zJczUk9kT3ij","Child","Everette Wild","C","description 2","100","100","100","100","100","100","100","","","External","D000002","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","GIJ8V1iuE+5KqBto6YgVWN","Child","Everette Wild","C","description 96","100","100","100","100","100","100","100","","","External","D000096","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","K7kqzklHk+DNDNPXeMYp6H","Child","Everette Wild","C","description 190","100","100","100","100","100","100","100","","","External","D000190","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","CkBhNmA4keLMiKa6nGa+uk","Child","Everette Wild","C","description 284","100","100","100","100","100","100","100","","","External","D000284","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","C-TIrWrN0AxEYKQF3Nfq+s","Child","Everette Wild","C","description 378","100","100","100","100","100","100","100","","","External","D000378","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","GOA1D8hXUbKOkytZ7BcOCK","Child","Everette Wild","C","description 472","100","100","100","100","100","100","100","","","External","D000472","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","CQ3nQUTjEeBK-ojAoe8dqY","Child","Everette Wild","C","description 566","100","100","100","100","100","100","100","","","External","D000566","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","ESs-2DJDk05LK4uZbZbu+R","Child","Everette Wild","C","description 660","100","100","100","100","100","100","100","","","External","D000660","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","LI10+kVz0FKMeomXbW7++3","Child","Everette Wild","C","description 754","100","100","100","100","100","100","100","","","External","D000754","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","Dz8Vjn7mU7WPLuhEAFYLCb","Child","Everette Wild","C","description 848","100","100","100","100","100","100","100","","","External","D000848","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","Je4Fr1WRUZyKb7gJCBbw2J","Child","Everette Wild","C","description 942","100","100","100","100","100","100","100","","","External","D000942","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","BhKGKboeU4xA3wCKGqi0Sw","Child","Everette Wild","C","description 3","100","100","100","100","100","100","100","","","External","D000003","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","IQVz8BswUQ+FQvw5fEalm6","Child","Everette Wild","C","description 97","100","100","100","100","100","100","100","","","External","D000097","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","IkC3ChFYEB9KO+Fee4pma-","Child","Everette Wild","C","description 191","100","100","100","100","100","100","100","","","External","D000191","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","Lu2MOryhkfCM43HTfSNEyl","Child","Everette Wild","C","description 285","100","100","100","100","100","100","100","","","External","D000285","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","HMfRD77xkj2GfB0gmpFM+H","Child","Everette Wild","C","description 379","100","100","100","100","100","100","100","","","External","D000379","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","PeG14JmE0nlBRy0UrqYbuV","Child","Everette Wild","C","description 473","100","100","100","100","100","100","100","","","External","D000473","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","MuRo9nEN0crFuIiap-5S2p","Child","Everette Wild","C","description 567","100","100","100","100","100","100","100","","","External","D000567","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","G-yoeeNTUioIY3ZP1DTASo","Child","Everette Wild","C","description 661","100","100","100","100","100","100","100","","","External","D000661","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","G45eNB9ZEz4HNznzO-12Wr","Child","Everette Wild","C","description 755","100","100","100","100","100","100","100","","","External","D000755","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","NJBU0tVnkt2Jm0gZAL-EO4","Child","Everette Wild","C","description 849","100","100","100","100","100","100","100","","","External","D000849","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","EjloGMcLkWPIJA6IXvKV2f","Child","Everette Wild","C","description 943","100","100","100","100","100","100","100","","","External","D000943","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","Lyu0sgEFUzELGBhjcS5Qez","Child","Everette Wild","C","description 4","100","100","100","100","100","100","100","","","External","D000004","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","BKetbkcSk-cCNvhAMMygaL","Child","Everette Wild","C","description 98","100","100","100","100","100","100","100","","","External","D000098","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","FSn1Hro8EMQN4Z30mPmbut","Child","Everette Wild","C","description 192","100","100","100","100","100","100","100","","","External","D000192","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","AL-1wPf-E66ABbEKLquMya","Child","Everette Wild","C","description 286","100","100","100","100","100","100","100","","","External","D000286","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","CnhF-WVBUgbEtx+2T04EGW","Child","Everette Wild","C","description 380","100","100","100","100","100","100","100","","","External","D000380","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","LmiWBxOI0SFHt73THznVG6","Child","Everette Wild","C","description 474","100","100","100","100","100","100","100","","","External","D000474","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","GO7fg5BB05XLgyanjj+nSV","Child","Everette Wild","C","description 568","100","100","100","100","100","100","100","","","External","D000568","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","LmcOsHCiE1hG4f+gkNIESt","Child","Everette Wild","C","description 662","100","100","100","100","100","100","100","","","External","D000662","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","O-LRpxwO0GNLm73hee92Sf","Child","Everette Wild","C","description 756","100","100","100","100","100","100","100","","","External","D000756","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","A1CifCGTUlDPiovpiNFC6g","Child","Everette Wild","C","description 850","100","100","100","100","100","100","100","","","External","D000850","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","GMZSAi4xks2Fhd4gU0R7eY","Child","Everette Wild","C","description 944","100","100","100","100","100","100","100","","","External","D000944","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","GBJi3ju1EFGBxlVKSlJeS2","Child","Everette Wild","C","description 5","100","100","100","100","100","100","100","","","External","D000005","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","Oh3Fw0w6U6MHMa14JcxX2T","Child","Everette Wild","C","description 99","100","100","100","100","100","100","100","","","External","D000099","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","MJS7AuiAEbgM0+sR6VHb+4","Child","Everette Wild","C","description 193","100","100","100","100","100","100","100","","","External","D000193","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","EtNIA61PUbbPtS0vO3YWiX","Child","Everette Wild","C","description 287","100","100","100","100","100","100","100","","","External","D000287","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","IONuNUfGEuQHxkizipeQ6E","Child","Everette Wild","C","description 381","100","100","100","100","100","100","100","","","External","D000381","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","Ha5RFmd90loAwYiq9THduM","Child","Everette Wild","C","description 475","100","100","100","100","100","100","100","","","External","D000475","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","OKLVHXmwUq8EbeqHlU08qR","Child","Everette Wild","C","description 569","100","100","100","100","100","100","100","","","External","D000569","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","IVkNF+U9kB-C9oInnxANKd","Child","Everette Wild","C","description 663","100","100","100","100","100","100","100","","","External","D000663","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","PuPTMbeJU0lPewXpH8rXuW","Child","Everette Wild","C","description 757","100","100","100","100","100","100","100","","","External","D000757","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","EjJm1TNw0NLHhWivzFDECT","Child","Everette Wild","C","description 851","100","100","100","100","100","100","100","","","External","D000851","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","AyWlq9hQ0MlPesdiB971qe","Child","Everette Wild","C","description 945","100","100","100","100","100","100","100","","","External","D000945","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","OqiQUoj1kaNI8GL9+ThyOc","Child","Everette Wild","C","description 6","100","100","100","100","100","100","100","","","External","D000006","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","B8xFFX8Y0QTIn+GoSQsJWv","Child","Everette Wild","C","description 100","100","100","100","100","100","100","100","","","External","D000100","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","BMqPfIJ2UAGC-85LRmPXu7","Child","Everette Wild","C","description 194","100","100","100","100","100","100","100","","","External","D000194","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","JDZ3Df7YEYoPtNDxkoSzqV","Child","Everette Wild","C","description 288","100","100","100","100","100","100","100","","","External","D000288","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","OIkVIIeKk3PH+8hi2QPJyT","Child","Everette Wild","C","description 382","100","100","100","100","100","100","100","","","External","D000382","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","NSr74IhlkaICPop1TsMRi6","Child","Everette Wild","C","description 476","100","100","100","100","100","100","100","","","External","D000476","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","NmqAgqF3UrZGN6LqYsJO2G","Child","Everette Wild","C","description 570","100","100","100","100","100","100","100","","","External","D000570","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","EteS7+p0kwIJa-lg7cP2aT","Child","Everette Wild","C","description 664","100","100","100","100","100","100","100","","","External","D000664","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","M0gUWJz7UM5LdvlTj+yTCH","Child","Everette Wild","C","description 758","100","100","100","100","100","100","100","","","External","D000758","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","GL89ns-ZEh9FJcs2sm0aCy","Child","Everette Wild","C","description 852","100","100","100","100","100","100","100","","","External","D000852","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","HSp8KyL+UQPLL9XRXe9du+","Child","Everette Wild","C","description 946","100","100","100","100","100","100","100","","","External","D000946","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","LsOn4BMmk+8MMIRQJtPjWp","Child","Everette Wild","C","description 7","100","100","100","100","100","100","100","","","External","D000007","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","D0LfLDcl0ebNjoroq6ZcOS","Child","Everette Wild","C","description 101","100","100","100","100","100","100","100","","","External","D000101","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","Dtvpj17LENAIQ54-JTUeWY","Child","Everette Wild","C","description 195","100","100","100","100","100","100","100","","","External","D000195","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","AKMcUY-fUBVF8SXoLDUqKu","Child","Everette Wild","C","description 289","100","100","100","100","100","100","100","","","External","D000289","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","IhM6uS99Ei+MPgn3ceQTuw","Child","Everette Wild","C","description 383","100","100","100","100","100","100","100","","","External","D000383","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","LGgdT3kDEt1IHHeaEkL7eN","Child","Everette Wild","C","description 477","100","100","100","100","100","100","100","","","External","D000477","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","ML8mJZ7jUYACs4uyk0ZgOi","Child","Everette Wild","C","description 571","100","100","100","100","100","100","100","","","External","D000571","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","LwqiDw5sEwMO27HhXP7W2H","Child","Everette Wild","C","description 665","100","100","100","100","100","100","100","","","External","D000665","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","DPIAUj6wEhFCbmcVNfepSi","Child","Everette Wild","C","description 759","100","100","100","100","100","100","100","","","External","D000759","No","No","No","No","No","No","No","No"
