"yearend","entityid","entityname","bundleguid","filename","lastmodified","CW GUID","Identifier","Control Name","Control Descriptions","Entities","IT System Affected","Date Identified","Evaluate Environment","Financial Statement Areas","Assertions","Business Cycles Affected","Control Design","Design Implemented","Evaluation Results","Key Control","Maturity Level","Indirect Control","Manual/Automated","Frequency of Control","Test Control","Testing Controls","Control is Effective","Associated Risks","Associated Reportable Items"
"2020","2","Vince_entity","ab53463f-ae4d-4de7-82b9-0bfc164fe8e3","PEG Audit risk.ac","2021-01-28","GHgHetvWnY2B1JcrNb5lSH","null-2","New control name","","","","2021-01-27","","","","","","","","","","","","","","","","",""
"2020","2","Vince_entity","ab53463f-ae4d-4de7-82b9-0bfc164fe8e3","PEG Audit risk.ac","2021-01-28","EJI4DYR0fg8P8vVF2iY4+G","null-1","Peg control 1","peg control description","","","2021-01-27","ONEFORM|H5QAfkrbUeyPQnCZej8hyR,450|PrK1PmrTUU0BWFRAIjh5OT,451|Hxav6Qvb0LWOApc5yVECWT,420.|KkPx1LHh00WCWbsBmiJlKa","Investments,Inventory,Accounts receivable,Cash, trade and other","Completeness,Accuracy / ValuationPresentation,Existence","PPPNFP","","","Satisfactory","Yes","","Yes","Manual","","Yes","ONEFORM|H5QAfkrbUeyPQnCZej8hyR","Yes","",""
"2010","2","Vince_entity","c4ed6982-29fd-452c-855a-0818f6dfe65a","Audit SYS control.ac","2021-02-03","BWiQyH82oA2Krx0Nkr2a6A","AU-1","audit sys control","audit sys control 1","""{""""LTfl+QyikxIE8fiKVyhPej"""":1}""","""[""""114195""""]""","2021-02-03","CTRLM.|LCaq78J1UySIFese1joym-","hhhh","","PPP","Unsatisfactory","","Satisfactory","No","2","No","Manual","Daily","No","CTRLM.|LCaq78J1UySIFese1joym-","Not Tested","",""
"2020","2","Vince_entity","7c457620-b16c-4a76-b8c2-1839df6bd8d8","Audit US Risk.ac","2021-01-28","CFooEDolXY3I6aa4ty7QiM","null-1","audit US control 1","audit us control 1 description","","","2021-01-27","400-A|NaItEMZokRzDC35PSgdxGx","Accounts receivable,Short term investments,Loans and advances receivable,Inventories,Cash and cash equivalents","Completeness,Valuation,Existence,Accuracy,Presentation and Disclosure","PPP|RRR|INS|INV","Satisfactory","No","Satisfactory","Yes","","Yes","Manual","Permanent","Yes","ONEFORM|Jweh+LhOEMNDHJufODl02J","Yes","",""
"2020","2","Vince_entity","95629dfb-a1af-4841-a8d6-0651a41a75e5","AuditRiskTest.ac","2021-02-04","GtCzXw5QK40FPjMl4SgvqP","null-3","Repaid growth","Rapid growth putting","","","2020-11-24","3. 10|CEz7qBZpk4SCw9qLVP6rK8","Receivables,Operating expenses,Revenues,Other liabilities, non-current, current","PresentationCompleteness,Accuracy / ValuationExistence","RRR","Satisfactory","No","Satisfactory","No","","Yes","Automated","","Yes","335.|KRZqs7YgEq5Jqwhhd9kyeZ,335-1.|OD1HvNZbUNDATUVutHsZOX,335. 10|KZHVVA15UNSCmmoTudF3WQ,335. 11|GmfgByL-0h5O3l9g+2g62I,335. 12|Es0K0fsjEKOJd5rHarzJ2o,335. 13|CSPrtBWR0FLNa40wab6OiH,335. 14|C+nB+5ucUcTHBBYH3Mx-O3,335. 15|GpMdChZMUKTJ33atYXMWaP,335. 20|ID8MAoqcECwClgC6YRW0em,PMSD|GhgutS4wEdKLIxBttR5b+d,DOC|IhiriA2KkEqCSGaN4pyZen,301.|CpV038wqkqmLtQAb74jCmB,304.|IFmCFc9OkFdBTJrchldqKA,305.|DddL4dw50+EJd0dXeDK92N,520E.  7|DpQeWiYUEi8GmYVD9OyIGo,100.|JkR-vW8-k3iO+vsUPllnyf","Yes","High morale",""
"2020","2","Vince_entity","95629dfb-a1af-4841-a8d6-0651a41a75e5","AuditRiskTest.ac","2021-02-04","MAhb4GxPrs7AW3Dfuj5sqD","null-1","Salesman's salary","Salesman's income and bonus","","","2020-11-24","405.|Gb+l+8K-UCkNQvUv6HLYar,436.|Og-MwYUuU-SHdHGpwoIe6g,436-1|NO96MRZGk3QAUNohNBAfGb,436C.|JWtVbXPNUnlCqwtkQxhXWa,436C-1|JCEn9kvakHwL6aje6DxX67,437.|JpJLkUzV06KJ3gwAxUJPiM,3. 10|CEz7qBZpk4SCw9qLVP6rK8,420.|LkRzm180k9YBCINvieX6yC","Payables","Completeness,Accuracy / ValuationPresentation,Existence","PPP","Satisfactory","Yes","Unsatisfactory","Yes","","Yes","Automated","","Yes","ONEFORM.|FnO5NLEWUoxIENX7-eDxaw","Yes","poor inventory  control",""
"2020","2","Vince_entity","95629dfb-a1af-4841-a8d6-0651a41a75e5","AuditRiskTest.ac","2021-02-04","PvRq1nj2u83I7H5uaQmpiB","null-4","Minimize tax burden","Management bias in","","","2020-11-24","SAMP|ENZWL6JFU0HG3JFtkvYLuN","Inventories","Completeness,Accuracy / ValuationPresentation,Existence","INV","Unsatisfactory","Yes","Satisfactory","Yes","","Yes","Manual","","Yes","","No","Super Poor control",""
"2020","2","Vince_entity","95629dfb-a1af-4841-a8d6-0651a41a75e5","AuditRiskTest.ac","2021-02-04","Fb5giEjGb4wIsOdELG6HuP","null-2","Continued growth","Continued growth","","","2020-11-24","523.|Ox20SslaUqeHvyBakwqSKh,523-1.|Fy-iMoFKErMIwQOtzVUTKH,523-2.|DT+qPjzJEJREkzTlh6q6eq,520E.  6|Ptk+wZFXEbrHRzBNJV8wSt,520E.|GJaeQEeUE0ULVaCWPDM-G-","Investments,Property, plant and equipment,Investment property,Intangible assets and goodwill","Completeness,Accuracy / ValuationPresentation,Existence","INS","Satisfactory","No","Satisfactory","Yes","","Yes","Automated","","Yes","SAMP|ENZWL6JFU0HG3JFtkvYLuN","Yes","Audit int risk1",""
"2019","2","Vince_entity","55a51702-e4b6-406a-baaa-a023176378b3","AuditControlTest.ac","2021-02-03","NCHThVEnBM5AWsqdjiHSKN","AU-1","Control 1","Control Description 1","""{""""Kg5xEXJoEBXPBxVwouK7q3"""":1}""","""[""""2347""""]""","2021-01-26","400.|MYKN06sPE-GLfQAGrHs6Wq,400-1.|Gh275zsw0DbF4uYQmcAB+Z,400-2.|OHZy00W1kTcKcFqaTsBEy6,400-3.|ClvdpPvRUPfD6PTg5F42+E,AOCR|F8OstpjnEgdHmjtcHqF0K4","Investments,Property, plant and equipment,Investment property,Intangible assets and goodwill","Completeness,Accuracy / ValuationPresentation,Existence","INS","Satisfactory","No","Satisfactory","Yes","1","Yes","Manual","Permanent","Yes","ONEFORM.|FnO5NLEWUoxIENX7-eDxaw","No","",""
"2019","2","Vince_entity","55a51702-e4b6-406a-baaa-a023176378b3","AuditControlTest.ac","2021-02-03","Clj7iZFNsk2DYfk5SUvCuP","AU-2","Control 2","Control Description 2","""{""""JCGyp32cEeBKqvitlpXlKn"""":1}""","""[""""2576""""]""","2021-01-26","SAMP|ENZWL6JFU0HG3JFtkvYLuN","Other expenses,Operating expenses,Revenues,Other income","Completeness,Accuracy / ValuationPresentation,Existence","RRR|PAY|PPP","Unsatisfactory","Yes","Unsatisfactory","No","5","No","Automated","Annually","PY2 (Tested)","35|CC8IrW-5E4QFgw70pAmL2o,35.101|DiphGzMREc6Ns7QOX23qmg,35.120|H33aeSUBENbJ7iPKXT1x+e","Yes","",""
"2019","2","Vince_entity","55a51702-e4b6-406a-baaa-a023176378b3","AuditControlTest.ac","2021-02-03","GXPFnpTDkowNW4iSeQxSCB","AU-3","Control three","control description 3","""{""""I1B-LLIiU9qEpUjDhC-6yJ"""":1}""","""[""""2347""""]""","2021-01-26","1|H6hB8fO-kfcIT0Y5nV2cKb","Borrowings,Other current liabilities,Other liabilities, non-current,Payables","Completeness,Accuracy / ValuationPresentation,Existence","PPP","Satisfactory","No","Satisfactory","No","3","No","Automated","Monthly","No","335.|KRZqs7YgEq5Jqwhhd9kyeZ,335-1.|OD1HvNZbUNDATUVutHsZOX","Not Tested","",""
"2013","2","Vince_entity","158e7adf-18a0-4b28-9b79-53f6cd15e5f1","SSARS risk.ac","2021-02-05","NWAYqtac6gyFcObbCHdG2B","sa-1","SARS control 1","sars control description","""{""""GvLFWaab0oAE57iu5hl2Ci"""":1}""","""[""""104610""""]""","2021-01-27","OVERVIEW|FPRWdfYJEk3LWpF6ha+d66","Accounts receivable,Short term investments,Inventories,Cash and cash equivalents","Completeness","","Satisfactory","","Satisfactory","No","1","Yes","Manual","Permanent","Yes","WPGE00|GhWmYiMR0hTJoSi1mntWuc,400|FiTzweqHkioDG5pN0oXuin,A|CJ6H62bMEeJH4T-K0h9GCs,BB|P+aLhY3t0rwNMdnFQbnrqZ,CC|Ncla6ctsEomN-tn6Iul9Kf,FF|HTNw5AGZkBpCT3gR4iV2q9,KK|FU6QjjRRUxrHxM2GPPCPiB,MM|CGVwem4OUYEIo85s4uosKJ,UU|OvZhNKP80mROrA9vzBWBa7","Yes","",""
"2019","2","Vince_entity","812e4a33-a0af-4023-9540-f93a2b93b20e","AuditControlTest.ac","2021-01-26","NCHThVEnBM5AWsqdjiHSKN","AU-1","Control 1","Control Description 1","""{""""Kg5xEXJoEBXPBxVwouK7q3"""":1}""","""[""""2347""""]""","2021-01-26","400.|MYKN06sPE-GLfQAGrHs6Wq,400-1.|Gh275zsw0DbF4uYQmcAB+Z,400-2.|OHZy00W1kTcKcFqaTsBEy6,400-3.|ClvdpPvRUPfD6PTg5F42+E,AOCR|F8OstpjnEgdHmjtcHqF0K4","Investments,Property, plant and equipment,Investment property,Intangible assets and goodwill","Completeness,Accuracy / ValuationPresentation,Existence","INS","Satisfactory","No","Satisfactory","Yes","1","Yes","Manual","Permanent","Yes","ONEFORM.|FnO5NLEWUoxIENX7-eDxaw","No","",""
"2019","2","Vince_entity","812e4a33-a0af-4023-9540-f93a2b93b20e","AuditControlTest.ac","2021-01-26","Clj7iZFNsk2DYfk5SUvCuP","AU-2","Control 2","Control Description 2","""{""""JCGyp32cEeBKqvitlpXlKn"""":1}""","""[""""2576""""]""","2021-01-26","SAMP|ENZWL6JFU0HG3JFtkvYLuN","Other expenses,Operating expenses,Revenues,Other income","Completeness,Accuracy / ValuationPresentation,Existence","RRR|PAY|PPP","Unsatisfactory","Yes","Unsatisfactory","No","5","No","Automated","Annually","PY2 (Tested)","35|CC8IrW-5E4QFgw70pAmL2o,35.101|DiphGzMREc6Ns7QOX23qmg,35.120|H33aeSUBENbJ7iPKXT1x+e","Yes","",""
"2019","2","Vince_entity","812e4a33-a0af-4023-9540-f93a2b93b20e","AuditControlTest.ac","2021-01-26","GXPFnpTDkowNW4iSeQxSCB","AU-3","Control three","control description 3","""{""""I1B-LLIiU9qEpUjDhC-6yJ"""":1}""","""[""""2347""""]""","2021-01-26","1|H6hB8fO-kfcIT0Y5nV2cKb","Borrowings,Other current liabilities,Other liabilities, non-current,Payables","Completeness,Accuracy / ValuationPresentation,Existence","PPP","Satisfactory","No","Satisfactory","No","3","No","Automated","Monthly","No","335.|KRZqs7YgEq5Jqwhhd9kyeZ,335-1.|OD1HvNZbUNDATUVutHsZOX","Not Tested","",""
"2013","2","Vince_entity","d036818b-fcaa-4a25-9a1a-99b6daa347e2","SSARS risk.ac","2021-02-04","NWAYqtac6gyFcObbCHdG2B","sa-1","SARS control 1","sars control description","""{""""GvLFWaab0oAE57iu5hl2Ci"""":1}""","""[""""104610""""]""","2021-01-27","OVERVIEW|FPRWdfYJEk3LWpF6ha+d66","Accounts receivable,Short term investments,Inventories,Cash and cash equivalents","Completeness","","Satisfactory","","Satisfactory","No","1","Yes","Manual","Permanent","Yes","WPGE00|GhWmYiMR0hTJoSi1mntWuc,400|FiTzweqHkioDG5pN0oXuin,A|CJ6H62bMEeJH4T-K0h9GCs,BB|P+aLhY3t0rwNMdnFQbnrqZ,CC|Ncla6ctsEomN-tn6Iul9Kf,FF|HTNw5AGZkBpCT3gR4iV2q9,KK|FU6QjjRRUxrHxM2GPPCPiB,MM|CGVwem4OUYEIo85s4uosKJ,UU|OvZhNKP80mROrA9vzBWBa7","Yes","",""
