yearend,entityid,entityname,bundleguid,filename,lastmodified,assets,currentassets,longtermassets,liabilitiesequity,liabilities,currentliabilities,longtermliabilities,equity,revenue,cogs,operatingexpenses,nonoperatingincome,netincome,ebiit,ebit,ebitda,grossmargin,entityguid,yearenddate,product,modified,source
2016,1,qs-test-028,nTTuIn2XTMev7qGCshWOqQ,vince mar 6 946am,3/6/2023 14:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LwpXYETSTdy0Gr4jP_uRXg,12/31/2016,com.caseware.ca.review.us.2016,3/6/2023 15:16,CloudEngagements
2017,1,qs-test-028,fyk7NXdFR82lKiLsLJwOjg,vince mar 10 2019,3/13/2023 14:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LwpXYETSTdy0Gr4jP_uRXg,12/31/2017,com.caseware.ca.review.us.2016,3/13/2023 16:36,CloudEngagements
2021,1,qs-test-028,8925182f-e3c0-43ae-ad32-59578a44b635,vince mar 3 126pm integrated.ac,3/3/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,WorkingPapers
2016,1,qs-test-028,POj55GatQUOSD_iie8ItUQ,vince mar 2 1215pm delay,3/2/2023 17:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LwpXYETSTdy0Gr4jP_uRXg,12/31/2016,com.caseware.ca.review.us.2016,3/2/2023 17:46,CloudEngagements
2021,1,qs-test-028,d0dd4244-022d-44ff-889c-3aeb0fbb74c6,vince mar 11 opdp.ac,3/11/2023,0,0,0,66666,0,0,0,66666,0,0,0,0,0,0,0,0,0,,,,,WorkingPapers
2016,1,qs-test-028,VZeefoHgQXSwrBx4moPTXg,vince mar 2 125pm delay,3/2/2023 18:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LwpXYETSTdy0Gr4jP_uRXg,12/31/2016,com.caseware.ca.review.us.2016,3/2/2023 18:26,CloudEngagements
2022,1,qs-test-028,Hi3gKHbJTJm2DeGXcd9cYQ,vince mar 10 1214pm,3/10/2023 17:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LwpXYETSTdy0Gr4jP_uRXg,12/31/2022,com.caseware.us.onpoint.pcr.us.2016,3/10/2023 17:29,CloudEngagements
2016,1,qs-test-028,Elkwe1neQ22yOgyuJB2_dg,SE test file,3/13/2023 20:29,99997.8,99997.8,0,-10.8,-10.8,-10.8,0,0,0,0,0,0,0,0,0,0,0,LwpXYETSTdy0Gr4jP_uRXg,12/31/2016,com.caseware.ca.review.us.2016,3/13/2023 20:26,CloudEngagements
2022,1,qs-test-028,BDyCNGiARfijQqJuFevFqw,qs-test-028,3/10/2023 16:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LwpXYETSTdy0Gr4jP_uRXg,12/31/2022,com.caseware.ca.e.review-comp.ca.2017,3/10/2023 18:06,CloudEngagements
2013,1,qs-test-028,11c5433c-1a5d-4e47-b8d4-ad43ec29d6d3,Audit API Pre Deploy.ac,3/3/2023,-97.4,0,-97.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,WorkingPapers
2021,1,qs-test-028,4c5687d5-ddba-42e1-86e8-4afde5166d5f,vince mar 2 published no opdp.ac,3/2/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,WorkingPapers
2021,1,qs-test-028,d1b06862-8a54-43a7-8033-4e6460565ccd,vince mar 2 opdp.ac,3/2/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,WorkingPapers
2016,1,qs-test-028,JMOKVvL3T_-N6MCm4LXqxg,vince mar 3 1155am,3/3/2023 16:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LwpXYETSTdy0Gr4jP_uRXg,12/31/2016,com.caseware.ca.review.us.2016,3/3/2023 16:56,CloudEngagements
2021,1,qs-test-028,uiYbiuXVS3GUiXP7I6IP1A,qs-test-028,3/10/2023 17:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LwpXYETSTdy0Gr4jP_uRXg,12/31/2021,com.caseware.us.onpoint.pcr.us.2016,3/10/2023 17:29,CloudEngagements
2021,1,qs-test-028,5d710303-c4f4-4957-9644-9b15a4a72894,AG test Mar 01.ac,3/1/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,WorkingPapers
2016,1,qs-test-028,Elkwe1neQ22yOgyuJB2_dg,SE test file,3/13/2023 21:03,99995.4,99997.8,-2.4,-12,-12,-12,0,0,0,-3.6,-4.8,0,-4.8,-4.8,-4.8,-4.8,-3.6,LwpXYETSTdy0Gr4jP_uRXg,12/31/2016,com.caseware.ca.review.us.2016,3/13/2023 21:34,CloudEngagements
2021,1,qs-test-028,676d2fd5-7eff-4677-bff4-b8ece5298e0b,AG Mar 02 CCMM.ac,3/2/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,WorkingPapers
2016,1,qs-test-028,ldt6TcjeT9q75_LATGNhsg,vince mar 7 929am 2016,3/10/2023 18:43,1109.8,1109.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LwpXYETSTdy0Gr4jP_uRXg,12/31/2016,com.caseware.ca.review.us.2016,3/10/2023 19:31,CloudEngagements
2016,1,qs-test-028,TjaHrbD-S16To-eZv7bkSg,vince mar 6 359pm,3/6/2023 20:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LwpXYETSTdy0Gr4jP_uRXg,12/31/2016,com.caseware.ca.review.us.2016,3/6/2023 20:59,CloudEngagements
2021,1,qs-test-028,b8538990-71d1-4249-9833-61237af5463c,vince mar 2 integrated file.ac,3/2/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,WorkingPapers
2021,1,qs-test-028,335b7fc9-378f-4df5-951e-f36abd8b3734,vince integrated mar 6 1226pm.ac,3/6/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,WorkingPapers
